,Name
1125,Darren J G Sammy
1126,Marlon Nathaniel Samuels
1127,Robert G Samuels
1128,Paththamperuma Arachchige Don Lakshan Rangika Sandakan
1129,Kevin T Sandher
1130,Balwinder S Sandhu
1131,Gurinder S Sandhu
1132,Kumar C Sangakkara
1133,Rahul L Sanghvi
1134,Mitchell Josef Santner
1135,Sanwar Hossain
1136,Saqib Ali
1137,Saqlain Haider
1138,Saqlain Mushtaq
1139,Sarandeep Singh
1140,Sarfraz Ahmed
1141,Sarfraz Nawaz
1142,Pawan Sarraf
1143,Ramnaresh R Sarwan
1144,Abdur F Sattaur
1145,Sayed Ahmad Shirzad
1146,Marcelis M C Schewe
1147,Edgar Schiferli
1148,Reiout H Scholte
1149,Brett N Schultz
1150,Glenroy R Sealy
1151,Barry B Seebaran
1152,Peter M Seelaar
1153,Surendra Seeraj
1154,Virender Sehwag
1155,Tim Louis Seifert
1156,Thirumalai A P Sekar
1157,Keith F Semple
1158,Charith P Senanayake
1159,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake
1160,Craig S Serjeant
1161,Ramesh K Sethi
1162,Shabbir Ahmed
1163,Shabir Noori
1164,Shadab Kabir
1165,Shadab Khan
1166,Shafiq Ahmed
1167,Shafiqullah
1168,Shafiuddin Ahmed
1169,Shafiul Islam
1170,Kinchit D Shah
1171,Owais A Shah
1172,Ravindu D Shah
1173,Shahadat Hossain
1174,Shaheedur Rahman
1175,Shaheen Shah Afridi
1176,Shahid Afridi
1177,Shahid Anwar
1178,Shahid Mahboob
1179,Shahid Nazir
1180,Shahid Saeed
1181,Shahid Wasif
1182,Shahriar Hossain
1183,Shahriar Nafees
1184,Shahzad Khan
1185,Shahzaib Hasan
1186,Shaiman Anwar
1187,Shakeel Ahmed
1188,Shakeel Khan
1189,Shakib Al Hasan
1190,Tabraiz Shamsi
1191,Aftabodeen Shamsuden
1192,Shamsur Rahman
1193,Madagamagamage Dasun Shanaka
1194,Vijay Shankar
1195,James Norman Knight Shannon
1196,Shapoor Zadran
1197,Sharafuddin Ashraf
1198,Safyaan M Sharif
1199,Shariful Haque
1200,Sharjeel Khan
1201,Ajay K Sharma
1202,Chetan Sharma
1203,Gopal Sharma
1204,Ishant Sharma
1205,Karn V Sharma
1206,Mohit Mahipal Sharma
1207,Parthasarathy H Sharma
1208,Rahul Sharma
1209,Rahul Sharma
1210,Rohit G Sharma
1211,Sanjeev K Sharma
1212,Ravishankar J Shastri
1213,Timothy G Shaw
1214,Andrew P Sheahan
1215,Shehzad Altaf
1216,Mohammad Sheikh
1217,Mohammad Q Sheikh
1218,Vikrant Shetty
1219,Mthokozisi Shezi
1220,Irvine T Shillingford
1221,Sew Shivnarine
1222,Shoaib Akhtar
1223,Shoaib Malik
1224,Shoaib Mohammad
1225,D'Arcy John Matthew Short
1226,Shubman Gill
1227,Laxmi R Shukla
1228,Kenneth Shuttleworth
1229,Shuvagata Hom
1230,Lega Siaka
1231,Vusimuzi Sibanda
1232,Peter M Siddle
1233,James D Siddons
1234,Ryan J Sidebottom
1235,Navjot S Sidhu
1236,Sikandar Raza
1237,Sikander Bakht
1238,E H Shadeep N Silva
1239,Kelaniyage J Silva
1240,Lindamlilage P C Silva
1241,Sampathawudage A R Silva
1242,Christopher E W Silverwood
1243,Simandeep Singh
1244,Simi Singh
1245,Lendl M P Simmons
1246,Philip V Simmons
1247,Eric O Simons
1248,Robert B Simpson
1249,Richard W Sims
1250,Matthew S Sinclair
1251,Rudra Pratap Singh
1252,Rudra Pratap Singh
1253,Rabindra Ramanarayan Singh
1254,Vikram R Singh
1255,Tisse Appuhamilage Milinda Siriwardana
1256,Laxman Sivaramakrishnan
1257,Skhawit Ali
1258,Wilfred N Slack
1259,Michael J Slater
1260,Gladstone C Small
1261,Milton A Small
1262,Timothy T Smart
1263,Clay J Smith
1264,Colin J O Smith
1265,Christopher L Smith
1266,David M Smith
1267,Dwayne R Smith
1268,Devon S Smith
1269,Graeme C Smith
1270,Ian D S Smith
1271,Mclaren Smith
1272,Michael John Smith
1273,Michael Jonathon Smith
1274,Neil M K Smith
1275,Robin A Smith
1276,Ruaidhri A J Smith
1277,Stephen B Smith
1278,Steven P D Smith
1279,Jeroen Smits
1280,Jeremy N Snape
1281,Shane Snater
1282,Martin C Snedden
1283,Richard P Snell
1284,John A Snow
1285,Garfield St Aubrun Sobers
1286,Inderbir S Sodhi
1287,Reetinder S Sodhi
1288,Sohag Gazi
1289,Sohaib Maqsood
1290,Sohail Butt
1291,Sohail Fazal
1292,Sohail Khan
1293,Sohail Tanvir
1294,Vikram S Solanki
1295,Christopher B Sole
1296,Thomas Barclay Sole
1297,Eknath D Solkar
1298,Sujith B Somasunder
1299,Sompal Kami
1300,Chad A Soper
1301,Durand Soraine
1302,Max C Sorensen
1303,Soumya Sarkar
1304,Timothy G Southee
1305,Craig M Spearman
1306,Barinder B Sran
1307,Laxman Sreekumar
1308,Shanthakumaran Sreesanth
1309,Krishnamachari Srikkanth
1310,Javagal Srinath
1311,Tirumalai E Srinivasan
1312,Sridharan Sriram
1313,Keith R Stackpole
1314,Jan H Stander
1315,Ian M Stanger
1316,Billy Stanlake
1317,Richard W Staple
1318,Mitchell Aaron Starc
1319,Nick A Statham
1320,Martin P Stead
1321,Ryan D Steede
1322,David S Steele
1323,William F Stelling
1324,Graham B Stevenson
1325,Alec J Stewart
1326,Errol L R Stewart
1327,Shanan L Stewart
1328,Dale W Steyn
1329,Phillipus J R Steyn
1330,Derek A Stirling
1331,Paul Robert Stirling
1332,Marcus Peter Stoinis
1333,Benjamin Andrew Stokes
1334,Lesley W Stokkers
1335,Oliver Peter Stone
1336,Leslie W Stott
1337,Bryan Colin Strang
1338,Paul A Strang
1339,Andrew J Strauss
1340,Heath H Streak
1341,Gregory M Strydom
1342,Pieter C Strydom
1343,Reinhardt Strydom
1344,Anthony M Stuart
1345,Colin E L Stuart
1346,Scott B Styris
1347,Murphy L Su'A
1348,Subashis Roy
1349,Ramchandra Sudhakar Rao
1350,Suhrawadi Shuvo
1351,Anthony O Suji
1352,Martin A Suji
1353,Sultan Zarawani
1354,Glen P Sulzberger
1355,Shiraz Sumar
1356,Sunzamul Islam
1357,Zubin E Surkari
1358,Stephan J Swanepoel
1359,Graeme P Swann
1360,Michael R Swart
1361,Syed Maqsood
1362,Syed Rasel
1363,Patrick Leonard Symcox
1364,Andrew Symonds
1365,Gerrie Synman
1366,Eric S Szwarczynski
1367,Tabarak Dar
1368,Tahir Naqqash
1369,Tatenda Taibu
1370,Taijul Islam
1371,Alex R Tait
1372,Shaun W Tait
1373,Talha Jubair
1374,Tamim Iqbal
1375,Tanbir Hayder
1376,Tanveer Ahmed
1377,Tanvir Ahmed
1378,Tanvir Mehdi
1379,Tanwir Afzal
1380,Tapash Baisya
1381,Tareq Aziz
1382,Tariq Javed
1383,Taskin Ahmed
1384,Taslim Arif
1385,Taufeeq Umar
1386,Tausif Ahmed
1387,Christopher James Tavare
1388,Bruce R Taylor
1389,Brendan R M Taylor
1390,Jerome E Taylor
1391,Jonathan P Taylor
1392,James W A Taylor
1393,Leslie B Taylor
1394,Luteru Ross Poutoa Lote Taylor
1395,Mark A Taylor
1396,Peter L Taylor
1397,Robert M L Taylor
1398,Robert W Taylor
1399,Roger Telemachus
1400,Ryan N ten Doeschate
1401,Sachin R Tendulkar
1402,Anura P B Tennekoon
1403,Daniel James ter Braak
1404,David J Terbrugge
1405,Sean P Terry
1406,Vinoo A B Tewarie
1407,Shardul Narendra Thakur
1408,Warushavithana Upul Tharanga
1409,Juan Theron
1410,Hettige Don Rumesh Lahiru Thirimanne
1411,Devon C Thomas
1412,John G Thomas
1413,Oshane Romaine Thomas
1414,Ewen P Thompson
1415,Greg J Thompson
1416,Patterson I C Thompson
1417,Stuart Robert Thompson
1418,Alan L Thomson
1419,Jeffrey Robert Thomson
1420,Shane A Thomson
1421,Graham P Thorpe
1422,Sanjayan Thuraisingam
1423,Magina Thilan Thushara Mirando Thushara
1424,Lazaro O Tikolo
1425,Stephen O Tikolo
1426,Hashan Prasantha Tillakaratne
1427,Donald T Tiripano
1428,Michael H Tissera
1429,Frederick John Titmus
1430,Manoj K Tiwary
1431,Saurabh S Tiwary
1432,Roger W Tolchard
1433,Gavin C Tonge
1434,Peter M Toohey
1435,Reece J W Topley
1436,Athanasios J Traicos
1437,James Cullum Tredwell
1438,Christopher P Tremain
1439,Christopher T Tremlett
1440,Marcus E Trescothick
1441,Glenn S Trimble
1442,Ian J L Trott
1443,Rodney J Trott
1444,Jamie O Troughton
1445,Gary B Troup
1446,Thandi Tshabalala
1447,Lonwabo L Tsotsobe
1448,Janeiro J Tucker
1449,Tamauri E Tucker
1450,Carl M Tuckett
1451,Alex Jeremy Tudor
1452,Daryl R Tuffey
1453,Philip Clive Roderick Tufnell
1454,Alan Turner
1455,Ashton James Turner
1456,Glenn M Turner
1457,Tushar Imran
1458,Roger G Twose
1459,Sudeep Tyagi
1460,Andrew James Tye
1461,Shaun D Udal
1462,Isuru Udana Tillakaratna
1463,Mahela L Udawatte
1464,Umair Ali
1465,Umar Akmal
1466,Umar Amin
1467,Umar Gul
1468,Jaydev D Unadkat
1469,Derek L Underwood
1470,Kalutarage Eric A Upashantha
1471,Tony P Ura
1472,Usman Ghani
1473,Usman Limbada
1474,Usman Mushtaq
1475,Usman Salahuddin
1476,Usman Khan Shinwari
1477,Robin V Uthappa
1478,Prosper Utseya
1479,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas
1480,Aldesh V Vadher
1481,Prashant S Vaidya
1482,Asadollah Vala
1483,John N Valentine
1484,Daan L S van Bunge
1485,Hendrik Erasmus van der Dussen
1486,Timm van der Gugten
1487,Albert van der Merwe
1488,Roelof E van der Merwe
1489,Johannes J van der Wath
1490,Martin van Jaarsveld
1491,Vaughn B van Jaarsveld
1492,Paul A van Meekeren
1493,Maurits W A van Nierop
1494,Klass-Jan J van Noortwijk
1495,Robert F Van Oosterom
1496,Burton O van Rooi
1497,Melt van Schoor
1498,Lucas P van Troost
1499,Rudolph J van Vuuren
1500,Morne N van Wyk
1501,Cornelius J P G Van Zyl
1502,Robert H Vance
1503,Jeffrey Dexter Francis Vandersay
1504,Michael G Vandort
1505,Norman Vanua
1506,Hiren A Varaiya
1507,Jack N T Vare
1508,John C B Vaughan
1509,Justin T C Vaughan
1510,Michael P Vaughan
1511,Michael R J Veletta
1512,Dillip B Vengsarkar
1513,Srinivasaraghavan Venkataraghavan
1514,Margasaghayam Venkataramana
1515,Yalaka Venugopal Rao
1516,Mark A Vermeulen
1517,Sharad Vesawkar
1518,Daniel L Vettori
1519,Murali Vijay
1520,Dirk P Viljoen
1521,Ranganath Vinay Kumar
1522,James M Vince
1523,Lou Vincent
1524,Gundappa R Viswanath
1525,Sandanand Viswanath
1526,Kasun Disi Kithuruwan Vithanage
1527,Brian V Vitori
1528,Graham E Vivian
1529,Adam C Voges
1530,Dudley M Vonhagt
1531,Matthew Scott Wade
1532,Ajit L Wadekar
1533,Kenneth J Wadsworth
1534,Wahab Riaz
1535,Wahidul Gani
1536,Wajahatullah Wasti
1537,Brooke G K Walker
1538,Matthew D J Walker
1539,Maxwell Henry Norman Walker
1540,Craig D Wallace
1541,Philo A Wallace
1542,Andrew C Waller
1543,Malcolm Noel Waller
1544,Kerry P Walmsley
1545,Courtney A Walsh
1546,Kevin Douglas Walters
1547,Riaan Walters
1548,Chadwick Antonio Kirkpatrick Walton
1549,Samuel Walusimbi
1550,Waqar Younis
1551,Waqas Barkat
1552,Waqas Khan
1553,Iain Wardlaw
1554,Bandula Warnapura
1555,Basnayake S M Warnapura
1556,Khahakachchi P J Warnaweera
1557,Shane K Warne
1558,David A Warner
1559,Washington Sundar
1560,Wasim Akram
1561,Wasim Bari
1562,Wasim Haider
1563,Wasim Raja
1564,Atul S Wassan
1565,Seren Waters
1566,Steven L Watkin
1567,Michael Watkinson
1568,Bradley-John Watling
1569,Graeme D Watson
1570,Ryan R Watson
1571,Shane R Watson
1572,Cameron L White
1573,David Wiese
1574,David J Willey
1575,Kane S Williamson
1576,Christopher Roger Woakes
1577,Barry Wood
1578,Graeme M Wood
1579,Mark A Wood
1580,Luke J Woodcock
1581,George H Worker
1582,Daniel J Worrall
1583,Craig M Wright
1584,Luke J Wright
1585,Jayant Yadav
1586,Umeshkumar Tilak Yadav
1587,Yamin Ahmadzai
1588,Michael H Yardy
1589,Yasir Arafat
1590,Yasir Hameed
1591,Yasir Shah
1592,Craig Alexander Young
1593,Younis Khan
1594,Yuvraj Singh
1595,Zahoor Khan
1596,Zakiullah Zaki
1597,Zameer Zahir
1598,Adam Zampa

